date,city,temp_side,station,outcome_f,source,updated_ts_est
2026-03-04,Miami,low,KMIA,72.0,cli_final,2026-03-05 08:21:44 AM EST
2026-03-04,Minneapolis,high,KMSP,49.0,cli_final,2026-03-05 08:21:44 AM EST
2026-03-04,Minneapolis,low,KMSP,33.0,cli_final,2026-03-05 08:21:44 AM EST
2026-03-04,New Orleans,high,KMSY,81.0,cli_final,2026-03-05 08:21:44 AM EST
2026-03-04,New Orleans,low,KMSY,69.0,cli_final,2026-03-05 08:21:44 AM EST
2026-03-04,New York City,high,KNYC,49.0,cli_final,2026-03-05 08:21:44 AM EST
2026-03-04,New York City,low,KNYC,35.0,cli_final,2026-03-05 08:21:44 AM EST
2026-03-04,Oklahoma City,high,KOKC,53.0,cli_final,2026-03-05 08:21:44 AM EST
2026-03-04,Oklahoma City,low,KOKC,47.0,cli_final,2026-03-05 08:21:44 AM EST
2026-03-04,Philadelphia,high,KPHL,50.0,cli_final,2026-03-05 08:21:44 AM EST
2026-03-04,Philadelphia,low,KPHL,40.0,cli_final,2026-03-05 08:21:44 AM EST
2026-03-04,Phoenix,high,KPHX,85.0,cli_final,2026-03-05 08:21:44 AM EST
2026-03-04,Phoenix,low,KPHX,60.0,cli_final,2026-03-05 08:21:44 AM EST
2026-03-04,San Antonio,high,KSAT,88.0,cli_final,2026-03-05 08:21:44 AM EST
2026-03-04,San Antonio,low,KSAT,71.0,cli_final,2026-03-05 08:21:44 AM EST
2026-03-04,San Francisco,high,KSFO,62.0,cli_final,2026-03-05 08:21:44 AM EST
2026-03-04,San Francisco,low,KSFO,52.0,cli_final,2026-03-05 08:21:44 AM EST
2026-03-04,Seattle,high,KSEA,52.0,cli_final,2026-03-05 08:21:44 AM EST
2026-03-04,Seattle,low,KSEA,46.0,cli_final,2026-03-05 08:21:44 AM EST
2026-03-04,Washington DC,high,KDCA,52.0,cli_final,2026-03-05 08:21:44 AM EST
2026-03-04,Washington DC,low,KDCA,43.0,cli_final,2026-03-05 08:21:44 AM EST
2026-03-05,Atlanta,high,KATL,81.0,cli_final,2026-03-06 08:31:50 AM EST
2026-03-05,Atlanta,low,KATL,59.0,cli_final,2026-03-06 08:31:50 AM EST
2026-03-05,Austin,high,KAUS,88.0,cli_final,2026-03-06 08:31:50 AM EST
2026-03-05,Austin,low,KAUS,71.0,cli_final,2026-03-06 08:31:50 AM EST
2026-03-05,Boston,high,KBOS,42.0,cli_final,2026-03-06 08:31:50 AM EST
2026-03-05,Boston,low,KBOS,31.0,cli_final,2026-03-06 08:31:50 AM EST
2026-03-05,Chicago,high,KMDW,51.0,cli_final,2026-03-06 08:31:50 AM EST
2026-03-05,Chicago,low,KMDW,40.0,cli_final,2026-03-06 08:31:50 AM EST
2026-03-05,Dallas,high,KDFW,82.0,cli_final,2026-03-06 08:31:50 AM EST
2026-03-05,Dallas,low,KDFW,65.0,cli_final,2026-03-06 08:31:50 AM EST
