n,alert_ts_est,matched_exec_ts_est,city,temp_side,ticker,line,bet,edge_pct,entry_yes_bid,entry_yes_ask,entry_spread_cents,entry_implied_prob_pct,fill_mode,fill_penalty_pct_points,effective_entry_cost_pct,settled_outcome_f,result,wager_usd,payout_usd
11,2026-03-05 02:22 AM EST,2026-03-05 02:22:02 AM EST,San Antonio,high,KXHIGHTSATX-26MAR05-T84,83F or below,BUY YES,28.6,18.0,23.0,5.0,23.0,half_spread_worse,2.5,25.5,87.0,LOSS,15.0,-15.0
12,2026-03-05 02:22 AM EST,2026-03-05 02:22:02 AM EST,Atlanta,high,KXHIGHTATL-26MAR05-B81.5,81F to 82F,BUY NO,22.4,34.0,35.0,1.0,66.0,half_spread_worse,0.5,66.5,81.0,LOSS,15.0,-15.0
13,2026-03-05 02:39 AM EST,2026-03-05 02:39:50 AM EST,Austin,high,KXHIGHAUS-26MAR05-B87.5,87F to 88F,BUY NO,26.9,37.0,43.0,6.0,63.0,half_spread_worse,3.0,66.0,88.0,LOSS,15.0,-15.0
14,2026-03-05 05:01 AM EST,2026-03-05 05:01:26 AM EST,Philadelphia,high,KXHIGHPHIL-26MAR05-T49,48F or below,BUY YES,20.8,21.0,24.0,3.0,24.0,half_spread_worse,1.5,25.5,49.0,LOSS,15.0,-15.0
15,2026-03-05 05:01 AM EST,2026-03-05 05:01:26 AM EST,Chicago,high,KXHIGHCHI-26MAR05-T45,44F or below,BUY YES,19.7,35.0,36.0,1.0,36.0,half_spread_worse,0.5,36.5,51.0,LOSS,15.0,-15.0
16,2026-03-05 05:55 AM EST,2026-03-05 05:55:07 AM EST,Oklahoma City,high,KXHIGHTOKC-26MAR05-B73.5,73F to 74F,BUY NO,17.3,32.0,33.0,1.0,68.0,half_spread_worse,0.5,68.5,75.0,WIN,15.0,6.9
17,2026-03-05 06:12 AM EST,2026-03-05 06:12:46 AM EST,Chicago,low,KXLOWTCHI-26MAR05-B41.5,41F to 42F,BUY NO,25.8,53.0,54.0,1.0,47.0,half_spread_worse,0.5,47.5,40.0,WIN,15.0,16.58
18,2026-03-05 06:30 AM EST,2026-03-05 06:30:27 AM EST,San Francisco,high,KXHIGHTSFO-26MAR05-B64.5,64F to 65F,BUY NO,14.7,40.0,44.0,4.0,60.0,half_spread_worse,2.0,62.0,63.0,WIN,15.0,9.19
19,2026-03-05 08:17 AM EST,2026-03-05 08:17:08 AM EST,Phoenix,high,KXHIGHTPHX-26MAR05-B81.5,81F to 82F,BUY NO,15.4,42.0,43.0,1.0,58.0,half_spread_worse,0.5,58.5,81.0,LOSS,15.0,-15.0
20,2026-03-05 08:23 AM EST,2026-03-05 08:23:47 AM EST,Denver,high,KXHIGHDEN-26MAR05-B68.5,68F to 69F,BUY NO,14.4,40.0,41.0,1.0,60.0,half_spread_worse,0.5,60.5,69.0,LOSS,15.0,-15.0
21,2026-03-05 08:33 AM EST,2026-03-05 08:33:05 AM EST,Miami,high,KXHIGHMIA-26MAR05-B82.5,82F to 83F,BUY NO,38.8,68.0,69.0,1.0,32.0,half_spread_worse,0.5,32.5,84.0,WIN,15.0,31.15
22,2026-03-05 08:33 AM EST,2026-03-05 08:33:05 AM EST,Washington DC,high,KXHIGHTDC-26MAR05-T61,60F or below,BUY YES,26.2,16.0,24.0,8.0,24.0,half_spread_worse,4.0,28.0,59.0,WIN,15.0,38.57
23,2026-03-05 08:33 AM EST,2026-03-05 08:33:05 AM EST,Denver,high,KXHIGHDEN-26MAR05-B68.5,68F to 69F,BUY NO,14.4,40.0,41.0,1.0,60.0,half_spread_worse,0.5,60.5,69.0,LOSS,15.0,-15.0
24,2026-03-05 08:40 AM EST,2026-03-05 08:40:24 AM EST,Houston,high,KXHIGHTHOU-26MAR05-B82.5,82F to 83F,BUY NO,17.4,51.0,56.0,5.0,49.0,half_spread_worse,2.5,51.5,82.0,LOSS,15.0,-15.0
25,2026-03-05 08:50 AM EST,2026-03-05 08:50:51 AM EST,Los Angeles,high,KXHIGHLAX-26MAR05-T75,76F or above,BUY NO,15.2,47.0,49.0,2.0,53.0,half_spread_worse,1.0,54.0,76.0,LOSS,15.0,-15.0
26,2026-03-05 09:06 AM EST,2026-03-05 09:06:07 AM EST,Las Vegas,high,KXHIGHTLV-26MAR05-B65.5,65F to 66F,BUY NO,48.0,58.0,60.0,2.0,42.0,half_spread_worse,1.0,43.0,66.0,LOSS,15.0,-15.0
27,2026-03-05 09:06 AM EST,2026-03-05 09:06:07 AM EST,Houston,high,KXHIGHTHOU-26MAR05-B82.5,82F to 83F,BUY NO,25.4,59.0,60.0,1.0,41.0,half_spread_worse,0.5,41.5,82.0,LOSS,15.0,-15.0
28,2026-03-05 09:06 AM EST,2026-03-05 09:06:07 AM EST,San Francisco,high,KXHIGHTSFO-26MAR05-B64.5,64F to 65F,BUY NO,15.1,41.0,42.0,1.0,59.0,half_spread_worse,0.5,59.5,63.0,WIN,15.0,10.21
29,2026-03-05 09:07 AM EST,2026-03-05 09:07:25 AM EST,Austin,low,KXLOWTAUS-26MAR05-T68,69F or above,BUY NO,24.1,74.0,81.0,7.0,26.0,half_spread_worse,3.5,29.5,71.0,LOSS,15.0,-15.0
30,2026-03-05 09:07 AM EST,2026-03-05 09:07:25 AM EST,Washington DC,high,KXHIGHTDC-26MAR05-T61,60F or below,BUY YES,22.2,20.0,28.0,8.0,28.0,half_spread_worse,4.0,32.0,59.0,WIN,15.0,31.88
31,2026-03-05 09:24 AM EST,2026-03-05 09:24:07 AM EST,Los Angeles,high,KXHIGHLAX-26MAR05-T75,76F or above,BUY NO,16.2,48.0,49.0,1.0,52.0,half_spread_worse,0.5,52.5,76.0,LOSS,15.0,-15.0
32,2026-03-05 09:41 AM EST,2026-03-05 09:41:55 AM EST,Dallas,high,KXHIGHTDAL-26MAR05-B81.5,81F to 82F,BUY NO,25.7,41.0,46.0,5.0,59.0,half_spread_worse,2.5,61.5,82.0,LOSS,15.0,-15.0
33,2026-03-05 09:41 AM EST,2026-03-05 09:41:55 AM EST,Phoenix,high,KXHIGHTPHX-26MAR05-B81.5,81F to 82F,BUY NO,18.4,44.0,45.0,1.0,56.0,half_spread_worse,0.5,56.5,81.0,LOSS,15.0,-15.0
34,2026-03-05 09:59 AM EST,2026-03-05 09:59:37 AM EST,Denver,low,KXLOWTDEN-26MAR05-B36.5,36F to 37F,BUY NO,61.3,78.0,81.0,3.0,22.0,half_spread_worse,1.5,23.5,36.0,LOSS,15.0,-15.0
35,2026-03-05 10:17 AM EST,2026-03-05 10:17:32 AM EST,Miami,high,KXHIGHMIA-26MAR05-B82.5,82F to 83F,BUY NO,32.7,76.0,77.0,1.0,24.0,half_spread_worse,0.5,24.5,84.0,WIN,15.0,46.22
