trades,wins,losses,hit_rate_pct,stake_dollars,fees_dollars,pnl_dollars,roi_pct_on_stake,edge_bucket,avg_edge_pct
1,1,0,100.0,3.08,0.08,-3.16,-102.59740259740259,<5,-6.4552258064516135
5,1,4,20.0,17.72,0.17,-8.67,-48.92776523702032,5-10,9.182
49,27,22,55.10204081632653,391.17,1.37,-383.67,-98.08267505176777,10-20,15.95857142857143
43,18,25,41.86046511627907,373.54,1.7,-388.58,-104.02634256036836,20-30,25.06906976744186
31,20,11,64.51612903225806,171.0,1.6600000000000001,29.449999999999996,17.222222222222218,30-40,34.70322580645161
21,9,12,42.857142857142854,118.63,2.25,-143.88,-121.28466661046953,40+,51.83714285714285
