ts_est,date,city,temp_type,ticker,bet,line,edge_pct,units,stake_dollars,side,limit_price_cents,count,time_in_force,status,error,order_id,client_order_id,execution_mode,attempt_count,passive_attempted,aggressive_attempted,aggressive_used,initial_limit_price_cents,final_order_status_raw,fee_dollars
2026-03-07 11:00:00 AM EST,2026-03-07,Austin,high,KXHIGHAUS-26MAR07-T78,BUY NO,77F or below,42.59,8.0,8.0,no,47,10,fill_or_kill,submitted,,a03e67c1-1802-433d-bd00-ec7fd3a5a05a,bot-2026-03-07-4609657344e0,aggressive,1,False,True,True,47,executed,0.180000
2026-03-07 01:11:00 PM EST,2026-03-07,Boston,high,KXHIGHTBOS-26MAR07-B47.5,BUY NO,47F to 48F,9.8,1.0,1.0,no,46,2,fill_or_kill,rejected,"{'code': 'fill_or_kill_insufficient_resting_volume', 'message': 'fill or kill insufficient resting volume'}",,bot-2026-03-07-e76c0e6604ad,passive,1,True,False,False,46,,
2026-03-07 01:23:00 PM EST,2026-03-07,Boston,high,KXHIGHTBOS-26MAR07-B47.5,BUY NO,47F to 48F,8.8,1.0,1.0,no,50,2,fill_or_kill,rejected,"{'code': 'fill_or_kill_insufficient_resting_volume', 'message': 'fill or kill insufficient resting volume'}",,bot-2026-03-07-47f35e1203dc,passive,1,True,False,False,50,,
2026-03-07 02:14:00 PM EST,2026-03-07,Seattle,high,KXHIGHTSEA-26MAR07-B53.5,BUY NO,53F to 54F,25.48,3.0,3.0,no,31,10,fill_or_kill,submitted,,0046ad6b-7784-45f6-a544-286abdfededa,bot-2026-03-07-773862e1cb9d,aggressive,2,True,True,True,26,executed,0.150000
2026-03-07 02:21:52 PM EST,2026-03-07,San Antonio,high,KXHIGHTSATX-26MAR07-T79,BUY NO,78F or below,19.0,2.0,2.0,no,77,2,fill_or_kill,submitted,,ec40e2a8-2cc0-445b-af93-0e9d87327d15,bot-2026-03-07-2fedc63b73a8,aggressive,2,True,True,True,68,executed,0.030000
