ts_est,date,city,temp_type,ticker,bet,line,edge_pct,units,stake_dollars,side,limit_price_cents,count,time_in_force,order_action,status,error,fee_dollars,order_id,client_order_id,execution_mode,attempt_count,passive_attempted,aggressive_attempted,aggressive_used,initial_limit_price_cents,final_order_status_raw
2026-03-09 01:41:00 AM EST,2026-03-09,Chicago,low,KXLOWTCHI-26MAR09-B46.5,BUY NO,46F to 47F,25.19,1.5,1.5,no,53,0,good_till_date,buy,rejected,"{'code': 'invalid_parameters', 'message': 'invalid parameters', 'details': ""Key: 'CreateOrderRequest.TimeInForce' Error:Field validation for 'TimeInForce' failed on the 'oneof' tag""}",0.0,,bot-2026-03-09-ef4296cd8a0f,passive,4,True,False,False,50,
2026-03-09 01:47:00 AM EST,2026-03-09,Atlanta,high,KXHIGHTATL-26MAR09-B79.5,BUY NO,79F to 80F,26.0,1.5,1.5,no,74,0,good_till_date,buy,rejected,"{'code': 'invalid_parameters', 'message': 'invalid parameters', 'details': ""Key: 'CreateOrderRequest.TimeInForce' Error:Field validation for 'TimeInForce' failed on the 'oneof' tag""}",0.0,,bot-2026-03-09-0a028c6d48bb,passive,3,True,False,False,72,
2026-03-09 01:51:00 AM EST,2026-03-09,Atlanta,high,KXHIGHTATL-26MAR09-B79.5,BUY NO,79F to 80F,26.0,1.5,1.5,no,74,0,good_till_date,buy,rejected,"{'code': 'invalid_parameters', 'message': 'invalid parameters', 'details': ""Key: 'CreateOrderRequest.TimeInForce' Error:Field validation for 'TimeInForce' failed on the 'oneof' tag""}",0.0,,bot-2026-03-09-563d132acfe3,passive,3,True,False,False,72,
2026-03-09 01:55:00 AM EST,2026-03-09,Miami,low,KXLOWTMIA-26MAR09-T72,BUY NO,73F or above,39.82,2.0,2.0,no,43,5,fill_or_kill,buy,submitted,,0.09,eae649c9-2432-4014-847a-8997aff96f25,bot-2026-03-09-36df4d1e16d3,aggressive,4,True,True,True,37,executed
2026-03-09 02:20:00 AM EST,2026-03-09,Philadelphia,high,KXHIGHPHIL-26MAR09-T73,BUY NO,74F or above,45.0,2.0,2.0,no,55,3,fill_or_kill,buy,submitted,,0.06,f6ee966c-52a9-40c6-9647-0b8d2a3d741a,bot-2026-03-09-c7b0c81143c1,aggressive,4,True,True,True,53,executed
2026-03-09 02:25:00 AM EST,2026-03-09,Austin,low,KXLOWTAUS-26MAR09-B61.5,BUY NO,61F to 62F,57.81,2.0,2.0,no,37,8,fill_or_kill,buy,submitted,,0.13,3e70f009-2917-486e-afbf-b5f774b0ca06,bot-2026-03-09-7f3eb87a3462,aggressive,5,True,True,True,24,executed
2026-03-09 03:02:00 AM EST,2026-03-09,Los Angeles,high,KXHIGHLAX-26MAR09-B69.5,BUY NO,69F to 70F,36.0,2.0,2.0,no,64,3,fill_or_kill,buy,submitted,,0.05,78973656-c6e3-4166-81bb-dd6154db32ee,bot-2026-03-09-e83698ad5e9a,aggressive,4,True,True,True,62,executed
2026-03-09 03:10:00 AM EST,2026-03-09,Oklahoma City,high,KXHIGHTOKC-26MAR09-B87.5,BUY NO,87F to 88F,38.0,2.0,2.0,no,63,3,fill_or_kill,buy,submitted,,0.05,a625fd5f-bc8e-4b0a-8462-29eb3f7da49e,bot-2026-03-09-5e2b1c2bcae8,aggressive,5,True,True,True,56,executed
2026-03-09 03:23:00 AM EST,2026-03-09,San Francisco,high,KXHIGHTSFO-26MAR09-B65.5,BUY NO,65F to 66F,40.0,2.0,2.0,no,60,3,fill_or_kill,buy,submitted,,0.06,e2eade85-bd4b-43a7-963b-75c1ee2ce412,bot-2026-03-09-89dd1f9802c7,aggressive,5,True,True,True,56,executed
2026-03-09 03:36:00 AM EST,2026-03-09,Dallas,high,KXHIGHTDAL-26MAR09-B83.5,BUY NO,83F to 84F,36.0,2.0,2.0,no,67,3,fill_or_kill,buy,submitted,,0.05,03673e3b-481f-4375-9b79-9c53c0cf6977,bot-2026-03-09-1ccb1fd066d9,aggressive,5,True,True,True,61,executed
